Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-,Origem
01/01/2026,16:20:14,LOC1,CÍRCULO,CÍR1,D,22.5,22.3,-0.2,1.0,-1.0,C2026.001.csv
02/01/2026,16:26:14,LOC1,CÍRCULO,CÍR1,D,22.5,22.54,0.04,1.0,-1.0,C2026.002.csv
03/01/2026,16:39:14,LOC1,CÍRCULO,CÍR1,D,22.5,22.01,-0.49,1.0,-1.0,C2026.003.csv
04/01/2026,17:43:24,LOC1,CÍRCULO,CÍR1,D,22.5,22.62,0.12,1.0,-1.0,C2026.004.csv
05/01/2026,17:51:14,LOC1,CÍRCULO,CÍR1,D,22.5,22.65,0.15,1.0,-1.0,C2026.005.csv
06/01/2026,17:58:25,LOC1,CÍRCULO,CÍR1,D,22.5,22.86,0.36,1.0,-1.0,C2026.006.csv
07/01/2026,18:05:52,LOC1,CÍRCULO,CÍR1,D,22.5,22.68,0.18,1.0,-1.0,C2026.007.csv
08/01/2026,18:13:34,LOC1,CÍRCULO,CÍR1,D,22.5,22.43,-0.07,1.0,-1.0,C2026.008.csv
09/01/2026,18:20:14,LOC1,CÍRCULO,CÍR1,D,22.5,22.58,0.08,1.0,-1.0,C2026.009.csv
10/01/2026,18:26:45,LOC1,CÍRCULO,CÍR1,D,22.5,22.73,0.23,1.0,-1.0,C2026.010.csv
11/01/2026,18:32:55,LOC1,CÍRCULO,CÍR1,D,22.5,22.88,0.38,1.0,-1.0,C2026.011.csv
12/01/2026,18:46:49,LOC1,CÍRCULO,CÍR1,D,22.5,22.68,0.18,1.0,-1.0,C2026.012.csv
13/01/2026,18:56:12,LOC1,CÍRCULO,CÍR1,D,22.5,22.46,-0.04,1.0,-1.0,C2026.013.csv
14/01/2026,19:05:45,LOC1,CÍRCULO,CÍR1,D,22.5,22.3,-0.2,1.0,-1.0,C2026.014.csv
15/01/2026,15:16:45,LOC1,CÍRCULO,CÍR1,D,22.5,22.61,0.11,1.0,-1.0,C2026.015.csv
16/01/2026,16:32:11,LOC1,CÍRCULO,CÍR1,D,22.5,22.44,-0.06,1.0,-1.0,C2026.016.csv
17/01/2026,18:05:41,LOC1,CÍRCULO,CÍR1,D,22.5,22.66,0.16,1.0,-1.0,C2026.017.csv
18/01/2026,18:55:36,LOC1,CÍRCULO,CÍR1,D,22.5,22.48,-0.02,1.0,-1.0,C2026.018.csv
19/01/2026,20:36:58,LOC1,CÍRCULO,CÍR1,D,22.5,22.37,-0.13,1.0,-1.0,C2026.019.csv
20/01/2026,15:21:22,LOC1,CÍRCULO,CÍR1,D,22.5,22.56,0.06,1.0,-1.0,C2026.020.csv
21/01/2026,19:17:17,LOC1,CÍRCULO,CÍR1,D,22.5,22.59,0.09,1.0,-1.0,C2026.021.csv
22/01/2026,16:18:21,LOC1,CÍRCULO,CÍR1,D,22.5,22.65,0.15,1.0,-1.0,C2026.022.csv
23/01/2026,16:13:23,LOC1,CÍRCULO,CÍR1,D,22.5,22.78,0.28,1.0,-1.0,C2026.023.csv
24/01/2026,19:44:24,LOC1,CÍRCULO,CÍR1,D,22.5,22.58,0.08,1.0,-1.0,C2026.024.csv
25/01/2026,15:21:22,LOC1,CÍRCULO,CÍR1,D,22.5,22.33,-0.17,1.0,-1.0,C2026.025.csv
26/01/2026,14:24:42,LOC1,CÍRCULO,CÍR1,D,22.5,22.37,-0.13,1.0,-1.0,C2026.026.csv
27/01/2026,16:36:36,LOC1,CÍRCULO,CÍR1,D,22.5,22.34,-0.16,1.0,-1.0,C2026.027.csv
28/01/2026,19:29:29,LOC1,CÍRCULO,CÍR1,D,22.5,22.75,0.25,1.0,-1.0,C2026.028.csv
29/01/2026,18:28:58,LOC1,CÍRCULO,CÍR1,D,22.5,22.71,0.21,1.0,-1.0,C2026.029.csv
30/01/2026,16:21:11,LOC1,CÍRCULO,CÍR1,D,22.5,22.51,0.01,1.0,-1.0,C2026.030.csv
31/01/2026,19:44:14,LOC1,CÍRCULO,CÍR1,D,22.5,22.23,-0.27,1.0,-1.0,C2026.031.csv
02/02/2026,18:51:17,LOC1,CÍRCULO,CÍR1,D,22.5,22.36,-0.14,1.0,-1.0,C2026.032.csv
03/02/2026,15:56:27,LOC1,CÍRCULO,CÍR1,D,22.5,22.9,0.4,1.0,-1.0,C2026.033.csv
04/02/2026,19:11:12,LOC1,CÍRCULO,CÍR1,D,22.5,22.45,-0.05,1.0,-1.0,C2026.034.csv
05/02/2026,15:22:22,LOC1,CÍRCULO,CÍR1,D,22.5,22.48,-0.02,1.0,-1.0,C2026.035.csv
06/02/2026,19:55:17,LOC1,CÍRCULO,CÍR1,D,22.5,22.6,0.1,1.0,-1.0,C2026.036.csv
07/02/2026,16:56:16,LOC1,CÍRCULO,CÍR1,D,22.5,22.72,0.22,1.0,-1.0,C2026.037.csv
08/02/2026,19:50:10,LOC1,CÍRCULO,CÍR1,D,22.5,22.35,-0.15,1.0,-1.0,C2026.038.csv
09/02/2026,17:57:11,LOC1,CÍRCULO,CÍR1,D,22.5,22.51,0.01,1.0,-1.0,C2026.039.csv
10/02/2026,18:51:17,LOC1,CÍRCULO,CÍR1,D,22.5,22.69,0.19,1.0,-1.0,C2026.040.csv
11/02/2026,19:59:10,LOC1,CÍRCULO,CÍR1,D,22.5,22.61,0.11,1.0,-1.0,C2026.041.csv
12/02/2026,15:19:03,LOC1,CÍRCULO,CÍR1,D,22.5,22.52,0.02,1.0,-1.0,C2026.042.csv
13/02/2026,19:59:10,LOC1,CÍRCULO,CÍR1,D,22.5,22.52,0.02,1.0,-1.0,C2026.043.csv
14/02/2026,16:29:18,LOC1,CÍRCULO,CÍR1,D,22.5,22.49,-0.01,1.0,-1.0,C2026.044.csv
15/02/2026,15:55:15,LOC1,CÍRCULO,CÍR1,D,22.5,22.31,-0.19,1.0,-1.0,C2026.045.csv
16/02/2026,17:57:17,LOC1,CÍRCULO,CÍR1,D,22.5,22.42,-0.08,1.0,-1.0,C2026.046.csv
17/02/2026,17:57:17,LOC1,CÍRCULO,CÍR1,D,22.5,22.64,0.14,1.0,-1.0,C2026.047.csv
18/02/2026,18:58:18,LOC1,CÍRCULO,CÍR1,D,22.5,22.52,0.02,1.0,-1.0,C2026.048.csv
19/02/2026,19:59:19,LOC1,CÍRCULO,CÍR1,D,22.5,22.4,-0.1,1.0,-1.0,C2026.049.csv
20/02/2026,15:21:20,LOC1,CÍRCULO,CÍR1,D,22.5,22.63,0.13,1.0,-1.0,C2026.050.csv
21/02/2026,21:12:12,LOC1,CÍRCULO,CÍR1,D,22.5,22.28,-0.22,1.0,-1.0,C2026.051.csv
22/02/2026,16:26:26,LOC1,CÍRCULO,CÍR1,D,22.5,22.55,0.05,1.0,-1.0,C2026.052.csv
23/02/2026,15:21:20,LOC1,CÍRCULO,CÍR1,D,22.5,22.38,-0.12,1.0,-1.0,C2026.053.csv
24/02/2026,14:21:24,LOC1,CÍRCULO,CÍR1,D,22.5,22.65,0.15,1.0,-1.0,C2026.054.csv
