Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-,Origem
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_7,X,2240.01,2239.59,-0.42,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_7,Z,49.78,49.75,-0.03,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_19,X,2076.34,2075.82,-0.52,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_19,Y,735.68,735.99,0.31,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_20,X,1956.2,1955.62,-0.58,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_20,Y,731.25,731.99,0.73,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_6,X,1826.21,1825.82,-0.4,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_6,Y,727.31,728.44,1.13,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_18,X,968.73,968.94,0.21,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_18,Y,712.09,713.06,0.96,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_16,X,748.55,748.73,0.18,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_16,Y,712.58,713.53,0.95,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_8,X,1439.37,1439.67,0.29,0.7,-0.7,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_8,Z,4.51,4.21,-0.3,0.7,-0.7,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_9,X,795.0,795.12,0.12,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_9,Z,-4.6,-4.51,0.09,0.8,-0.8,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_10,X,705.0,705.11,0.11,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_10,Z,19.81,19.62,-0.19,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_11,X,610.0,610.52,0.52,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_11,Z,-4.32,-4.81,-0.49,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_13,X,445.0,445.06,0.06,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_13,Z,10.81,10.79,-0.02,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_14,X,558.68,558.88,0.2,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,CÍRCULO,CÍRCULO_14,Y,648.91,649.19,0.28,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_1,X,1560.25,1560.36,0.11,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_1,Y,711.9,712.13,0.23,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_2,X,1560.01,1560.12,0.11,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_2,Y,670.85,671.48,0.63,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_3,X,1444.32,1444.52,0.2,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_3,Z,-17.53,-17.61,-0.08,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_4,X,1125.08,1125.29,0.21,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_4,Y,670.5,671.6,1.1,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_5,X,925.0,925.31,0.31,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_5,Y,711.03,711.89,0.86,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_6,X,925.08,925.32,0.24,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_6,Y,670.5,671.5,1.01,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_7,X,725.0,725.24,0.24,1.0,-1.0,01 - C0602.2024.csv
18/03/2024,11:54:50,N/D,SLOT,RETÂNGULO_7,Y,711.87,712.3,0.43,1.0,-1.0,01 - C0602.2024.csv
